PMID,Title,Journal,Publication Date,DOI,PMC ID,Free Text Availability
16265631,Role of calcium-dependent actin-bundling proteins: characterization of Dictyostelium mutants lacking fimbrin and the 34-kilodalton protein.,Cell motility and the cytoskeleton,"{'Year': '2005', 'Month': 'Dec'}",10.1002/cm.20098,,Likely no free text
15366765,Comparison of molecular mechanisms mediating cell contact phenomena in model developmental systems: an exploration of universality.,Biological reviews of the Cambridge Philosophical Society,"{'Year': '2004', 'Month': 'Aug'}",10.1017/s1464793103006389,,Likely no free text
8509452,Proton pumps populate the contractile vacuoles of Dictyostelium amoebae.,The Journal of cell biology,"{'Year': '1993', 'Month': 'Jun'}",10.1083/jcb.121.6.1311,PMC2119701,Likely Freely Available
17353263,MEK1 and protein phosphatase 4 coordinate Dictyostelium development and chemotaxis.,Molecular and cellular biology,"{'Year': '2007', 'Month': 'May'}",10.1128/MCB.02194-06,PMC1899987,Likely Freely Available
15059942,Point-counterpoint of sphingosine 1-phosphate metabolism.,Circulation research,"{'Year': '2004', 'Month': 'Apr', 'Day': '02'}",10.1161/01.RES.0000122383.60368.24,,Likely no free text
20573979,WASP family proteins: their evolution and its physiological implications.,Molecular biology of the cell,"{'Year': '2010', 'Month': 'Aug', 'Day': '15'}",10.1091/mbc.E10-04-0372,PMC2921111,Likely Freely Available
22992464,Dynamics of clathrin-mediated endocytosis and its requirement for organelle biogenesis in Dictyostelium.,Journal of cell science,"{'Year': '2012', 'Month': 'Dec', 'Day': '01'}",10.1242/jcs.108837,PMC3575707,Likely Freely Available
12429832,Identification and characterization of two unusual cGMP-stimulated phoshodiesterases in dictyostelium.,Molecular biology of the cell,"{'Year': '2002', 'Month': 'Nov'}",10.1091/mbc.e02-05-0302,PMC133600,Likely Freely Available
17671169,Talin influences the dynamics of the myosin VII-membrane interaction.,Molecular biology of the cell,"{'Year': '2007', 'Month': 'Oct'}",10.1091/mbc.e06-07-0586,PMC1995725,Likely Freely Available
21875595,Characterization of a myosin VII MyTH/FERM domain.,Journal of molecular biology,"{'Year': '2011', 'Month': 'Oct', 'Day': '14'}",10.1016/j.jmb.2011.08.036,PMC3607624,Likely Freely Available
32745097,"Cell-substrate adhesion drives Scar/WAVE activation and phosphorylation by a Ste20-family kinase, which controls pseudopod lifetime.",PLoS biology,"{'Year': '2020', 'Month': 'Aug'}",10.1371/journal.pbio.3000774,PMC7425996,Likely Freely Available
26890004,Gβ Regulates Coupling between Actin Oscillators for Cell Polarity and Directional Migration.,PLoS biology,"{'Year': '2016', 'Month': 'Feb'}",10.1371/journal.pbio.1002381,PMC4758609,Likely Freely Available
9238018,A novel role for clathrin in cytokinesis.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1997', 'Month': 'Aug', 'Day': '05'}",10.1073/pnas.94.16.8575,PMC23021,Likely Freely Available
28049717,A new HECT ubiquitin ligase regulating chemotaxis and development in Dictyostelium discoideum.,Journal of cell science,"{'Year': '2017', 'Month': 'Feb', 'Day': '01'}",10.1242/jcs.194225,,Likely no free text
2963624,Isolation and characterization of a plasma membrane calcium pump from Dictyostelium discoideum.,The Biochemical journal,"{'Year': '1988', 'Month': 'Jan', 'Day': '01'}",10.1042/bj2490223,PMC1148688,Likely Freely Available
1493336,Inducible expression of calmodulin antisense RNA in Dictyostelium cells inhibits the completion of cytokinesis.,Molecular biology of the cell,"{'Year': '1992', 'Month': 'Dec'}",10.1091/mbc.3.12.1403,PMC275708,Likely Freely Available
8780505,Binding of hisactophilin I and II to lipid membranes is controlled by a pH-dependent myristoyl-histidine switch.,Biochemistry,"{'Year': '1996', 'Month': 'Aug', 'Day': '27'}",10.1021/bi960789j,,Likely no free text
30133996,"The regulatory subunit phr2AB of Dictyostelium discoideum phosphatase PP2A interacts with the centrosomal protein CEP161, a CDK5RAP2 ortholog.",Genes to cells : devoted to molecular & cellular mechanisms,"{'Year': '2018', 'Month': 'Oct'}",10.1111/gtc.12637,,Likely no free text
10491107,Biochemical characterization of a Dictyostelium myosin II heavy-chain phosphatase that promotes filament assembly.,European journal of biochemistry,"{'Year': '1999', 'Month': 'Sep'}",10.1046/j.1432-1327.1999.00670.x,,Likely no free text
22699506,Identification of the kinase that activates a nonmetazoan STAT gives insights into the evolution of phosphotyrosine-SH2 domain signaling.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2012', 'Month': 'Jul', 'Day': '10'}",10.1073/pnas.1202715109,PMC3396520,Likely Freely Available
9265658,The cell adhesion molecule DdCAD-1 in Dictyostelium is targeted to the cell surface by a nonclassical transport pathway involving contractile vacuoles.,The Journal of cell biology,"{'Year': '1997', 'Month': 'Aug', 'Day': '25'}",10.1083/jcb.138.4.939,PMC2138044,Likely Freely Available
8620848,Mutations in the Dictyostelium heterotrimeric G protein alpha subunit G alpha5 alter the kinetics of tip morphogenesis.,"Development (Cambridge, England)","{'Year': '1996', 'Month': 'Apr'}",10.1242/dev.122.4.1215,,Likely no free text
24711368,The Dnmt2 RNA methyltransferase homolog of Geobacter sulfurreducens specifically methylates tRNA-Glu.,Nucleic acids research,"{'Year': '2014', 'Month': 'Jun'}",10.1093/nar/gku256,PMC4041430,Likely Freely Available
12952082,Chaperonin 60 and mitochondrial disease in Dictyostelium.,Journal of muscle research and cell motility,{'Year': '2002'},10.1023/a:1024444215766,,Likely no free text
16107728,"Loss of SMEK, a novel, conserved protein, suppresses MEK1 null cell polarity, chemotaxis, and gene expression defects.",Molecular and cellular biology,"{'Year': '2005', 'Month': 'Sep'}",10.1128/MCB.25.17.7839-7853.2005,PMC1190274,Likely Freely Available
22359584,Defining components of the ß-catenin destruction complex and exploring its regulation and mechanisms of action during development.,PloS one,{'Year': '2012'},10.1371/journal.pone.0031284,PMC3281067,Likely Freely Available
10449356,The polarisation of the anterior-posterior and dorsal-ventral axes during Drosophila oogenesis.,Current opinion in genetics & development,"{'Year': '1999', 'Month': 'Aug'}",10.1016/S0959-437X(99)80060-4,,Likely no free text
15872064,"Drosophila CAKI/CMG protein, a homolog of human CASK, is essential for regulation of neurotransmitter vesicle release.",Journal of neurophysiology,"{'Year': '2005', 'Month': 'Aug'}",10.1152/jn.00954.2004,,Likely no free text
16522806,Crystal structure of Homo sapiens PTD012 reveals a zinc-containing hydrolase fold.,Protein science : a publication of the Protein Society,"{'Year': '2006', 'Month': 'Apr'}",10.1110/ps.052037006,PMC2242484,Likely Freely Available
15178316,Calmodulin bridging of IQ motifs in myosin-V.,FEBS letters,"{'Year': '2004', 'Month': 'Jun', 'Day': '04'}",10.1016/j.febslet.2004.04.053,,Likely no free text
23821596,Maintenance of interphase chromosome compaction and homolog pairing in Drosophila is regulated by the condensin cap-h2 and its partner Mrg15.,Genetics,"{'Year': '2013', 'Month': 'Sep'}",10.1534/genetics.113.153544,PMC3761296,Likely Freely Available
22778134,Neuronal Cbl controls biosynthesis of insulin-like peptides in Drosophila melanogaster.,Molecular and cellular biology,"{'Year': '2012', 'Month': 'Sep'}",10.1128/MCB.00592-12,PMC3430201,Likely Freely Available
12386932,How one becomes many: blastoderm cellularization in Drosophila melanogaster.,"BioEssays : news and reviews in molecular, cellular and developmental biology","{'Year': '2002', 'Month': 'Nov'}",10.1002/bies.10184,,Likely no free text
31167138,STRIPAK Members Orchestrate Hippo and Insulin Receptor Signaling to Promote Neural Stem Cell Reactivation.,Cell reports,"{'Year': '2019', 'Month': 'Jun', 'Day': '04'}",10.1016/j.celrep.2019.05.023,PMC6581792,Likely Freely Available
12068918,EM visualization of Pol II genes in Drosophila: most genes terminate without prior 3' end cleavage of nascent transcripts.,Chromosoma,"{'Year': '2002', 'Month': 'Mar'}",10.1007/s00412-002-0183-7,,Likely no free text
21267420,The Me31B DEAD-Box Helicase Localizes to Postsynaptic Foci and Regulates Expression of a CaMKII Reporter mRNA in Dendrites of Drosophila Olfactory Projection Neurons.,Frontiers in neural circuits,{'Year': '2010'},10.3389/fncir.2010.00121,PMC3024558,Likely Freely Available
12815720,Epigenomic replication: linking epigenetics to DNA replication.,"BioEssays : news and reviews in molecular, cellular and developmental biology","{'Year': '2003', 'Month': 'Jul'}",10.1002/bies.10305,,Likely no free text
8524239,Seven-up inhibits ultraspiracle-based signaling pathways in vitro and in vivo.,Molecular and cellular biology,"{'Year': '1995', 'Month': 'Dec'}",10.1128/MCB.15.12.6736,PMC230927,Likely Freely Available
16943550,Mutations in the K+/Cl- cotransporter gene kazachoc (kcc) increase seizure susceptibility in Drosophila.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"{'Year': '2006', 'Month': 'Aug', 'Day': '30'}",10.1523/JNEUROSCI.4998-05.2006,PMC6675325,Likely Freely Available
10837127,The maternal effect mutation sésame affects the formation of the male pronucleus in Drosophila melanogaster.,Developmental biology,"{'Year': '2000', 'Month': 'Jun', 'Day': '15'}",10.1006/dbio.2000.9718,,Likely no free text
2659071,Drosophila insulin degrading enzyme and rat skeletal muscle insulin protease cleave insulin at similar sites.,Biochemistry,"{'Year': '1989', 'Month': 'Mar', 'Day': '21'}",10.1021/bi00432a018,,Likely no free text
9654737,Identification of proteins and developmental expression of RNAs encoded by the 65A cuticle protein gene cluster in Drosophila melanogaster.,Insect biochemistry and molecular biology,"{'Year': '1998', 'Month': 'Mar'}",10.1016/s0965-1748(97)00107-0,,Likely no free text
24318532,An unexpected link between notch signaling and ROS in restricting the differentiation of hematopoietic progenitors in Drosophila.,Genetics,"{'Year': '2014', 'Month': 'Jun'}",10.1534/genetics.113.159210,PMC4063908,Likely Freely Available
29513217,<i>Drosophila</i> Fezf coordinates laminar-specific connectivity through cell-intrinsic and cell-extrinsic mechanisms.,eLife,"{'Year': '2018', 'Month': 'Mar', 'Day': '07'}",10.7554/eLife.33962,PMC5854465,Likely Freely Available
16407545,Electrical hyperexcitation of lateral ventral pacemaker neurons desynchronizes downstream circadian oscillators in the fly circadian circuit and induces multiple behavioral periods.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"{'Year': '2006', 'Month': 'Jan', 'Day': '11'}",10.1523/JNEUROSCI.3915-05.2006,PMC2597197,Likely Freely Available
15843412,PAT-related amino acid transporters regulate growth via a novel mechanism that does not require bulk transport of amino acids.,"Development (Cambridge, England)","{'Year': '2005', 'Month': 'May'}",10.1242/dev.01821,,Likely no free text
26848177,A tetraspanin regulates septate junction formation in Drosophila midgut.,Journal of cell science,"{'Year': '2016', 'Month': 'Mar', 'Day': '15'}",10.1242/jcs.180448,,Likely no free text
18256476,"Cloning, expression, and characterization of cytosolic sulfotransferase isozymes from Drosophila melanogaster.","Bioscience, biotechnology, and biochemistry","{'Year': '2008', 'Month': 'Feb'}",10.1271/bbb.70647,,Likely no free text
36858008,Spoonbill positively regulates JNK signalling mediated apoptosis in Drosophila melanogaster.,European journal of cell biology,"{'Year': '2023', 'Month': 'Jun'}",10.1016/j.ejcb.2023.151300,,Likely no free text
25589578,Drosophila gene tao-1 encodes proteins with and without a Ste20 kinase domain that affect cytoskeletal architecture and cell migration differently.,Open biology,"{'Year': '2015', 'Month': 'Jan'}",10.1098/rsob.140161,PMC4313371,Likely Freely Available
2819725,Association of topoisomerase I with transcriptionally active loci in Drosophila.,NCI monographs : a publication of the National Cancer Institute,{'Year': '1987'},,,Likely no free text
26772998,Zfrp8 forms a complex with fragile-X mental retardation protein and regulates its localization and function.,Developmental biology,"{'Year': '2016', 'Month': 'Feb', 'Day': '15'}",10.1016/j.ydbio.2015.12.008,PMC4768487,Likely Freely Available
24560644,Cleavage of the Drosophila screw prodomain is critical for a dynamic BMP morphogen gradient in embryogenesis.,Developmental biology,"{'Year': '2014', 'Month': 'May', 'Day': '15'}",10.1016/j.ydbio.2014.02.007,,Likely no free text
9106658,"UbcD1, a Drosophila ubiquitin-conjugating enzyme required for proper telomere behavior.",Genes & development,"{'Year': '1997', 'Month': 'Apr', 'Day': '01'}",10.1101/gad.11.7.863,,Likely no free text
8647396,"Genetic interactions between the Drosophila Abelson (Abl) tyrosine kinase and failed axon connections (fax), a novel protein in axon bundles.",Genetics,"{'Year': '1995', 'Month': 'Oct'}",10.1093/genetics/141.2.595,PMC1206759,Likely Freely Available
22879948,fussel (fuss)--A negative regulator of BMP signaling in Drosophila melanogaster.,PloS one,{'Year': '2012'},10.1371/journal.pone.0042349,PMC3413677,Likely Freely Available
12747848,Patterning: JAK-STAT signalling in the Drosophila follicular epithelium.,Current biology : CB,"{'Year': '2003', 'Month': 'May', 'Day': '13'}",10.1016/s0960-9822(03)00317-8,,Likely no free text
15020418,Knockouts of Kekkon1 define sequence elements essential for Drosophila epidermal growth factor receptor inhibition.,Genetics,"{'Year': '2004', 'Month': 'Jan'}",10.1534/genetics.166.1.201,PMC1470717,Likely Freely Available
11691839,The RNA-binding protein Tsunagi interacts with Mago Nashi to establish polarity and localize oskar mRNA during Drosophila oogenesis.,Genes & development,"{'Year': '2001', 'Month': 'Nov', 'Day': '01'}",10.1101/gad.927001,PMC312802,Likely Freely Available
8725234,The nuclear protein encoded by the Drosophila neurogenic gene mastermind is widely expressed and associates with specific chromosomal regions.,Genetics,"{'Year': '1996', 'Month': 'Jun'}",10.1093/genetics/143.2.859,PMC1207344,Likely Freely Available
1902570,The Drosophila homologue of vertebrate myogenic-determination genes encodes a transiently expressed nuclear protein marking primary myogenic cells.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1991', 'Month': 'May', 'Day': '01'}",10.1073/pnas.88.9.3782,PMC51537,Likely Freely Available
10970873,Neuralized functions cell autonomously to regulate Drosophila sense organ development.,The EMBO journal,"{'Year': '2000', 'Month': 'Sep', 'Day': '01'}",10.1093/emboj/19.17.4827,PMC302081,Likely Freely Available
22140513,dp53 Restrains ectopic neural stem cell formation in the Drosophila brain in a non-apoptotic mechanism involving Archipelago and cyclin E.,PloS one,{'Year': '2011'},10.1371/journal.pone.0028098,PMC3225381,Likely Freely Available
9398656,Functional characterization of RNase H1 from Drosophila melanogaster.,Biochemical and biophysical research communications,"{'Year': '1997', 'Month': 'Nov', 'Day': '26'}",10.1006/bbrc.1997.7756,,Likely no free text
12917011,Expanded substrate screenings of human and Drosophila type 10 17beta-hydroxysteroid dehydrogenases (HSDs) reveal multiple specificities in bile acid and steroid hormone metabolism: characterization of multifunctional 3alpha/7alpha/7beta/17beta/20beta/21-HSD.,The Biochemical journal,"{'Year': '2003', 'Month': 'Nov', 'Day': '15'}",10.1042/BJ20030877,PMC1223751,Likely Freely Available
24561554,The binary protein-protein interaction landscape of Escherichia coli.,Nature biotechnology,"{'Year': '2014', 'Month': 'Mar'}",10.1038/nbt.2831,PMC4123855,Likely Freely Available
177283,Homoserine kinase from Escherichia coli K12.,European journal of biochemistry,"{'Year': '1976', 'Month': 'Mar', 'Day': '01'}",10.1111/j.1432-1033.1976.tb10186.x,,Likely no free text
18022369,Structural basis for signal-sequence recognition by the translocase motor SecA as determined by NMR.,Cell,"{'Year': '2007', 'Month': 'Nov', 'Day': '16'}",10.1016/j.cell.2007.09.039,PMC2170882,Likely Freely Available
6325179,"Molecular cloning, DNA structure and expression of the Escherichia coli D-xylose isomerase.",The EMBO journal,"{'Year': '1984', 'Month': 'Mar'}",10.1002/j.1460-2075.1984.tb01856.x,PMC557396,Likely Freely Available
19721076,Induction of multidrug resistance mechanism in Escherichia coli biofilms by interplay between tetracycline and ampicillin resistance genes.,Antimicrobial agents and chemotherapy,"{'Year': '2009', 'Month': 'Nov'}",10.1128/AAC.00454-09,PMC2772303,Likely Freely Available
15221231,Metabolic regulation analysis of icd-gene knockout Escherichia coli based on 2D electrophoresis with MALDI-TOF mass spectrometry and enzyme activity measurements.,Applied microbiology and biotechnology,"{'Year': '2004', 'Month': 'Jul'}",10.1007/s00253-004-1627-1,,Likely no free text
34323689,NirD curtails the stringent response by inhibiting RelA activity in <i>Escherichia coli</i>.,eLife,"{'Year': '2021', 'Month': 'Jul', 'Day': '29'}",10.7554/eLife.64092,PMC8321558,Likely Freely Available
24563032,"The PhoU protein from Escherichia coli interacts with PhoR, PstB, and metals to form a phosphate-signaling complex at the membrane.",Journal of bacteriology,"{'Year': '2014', 'Month': 'May'}",10.1128/JB.00029-14,PMC3993317,Likely Freely Available
18340041,Genome-wide analysis of Fis binding in Escherichia coli indicates a causative role for A-/AT-tracts.,Genome research,"{'Year': '2008', 'Month': 'Jun'}",10.1101/gr.070276.107,PMC2413157,Likely Freely Available
22888013,Bacterial cytokinesis: From Z ring to divisome.,"Cytoskeleton (Hoboken, N.J.)","{'Year': '2012', 'Month': 'Oct'}",10.1002/cm.21054,PMC3931253,Likely Freely Available
4296838,The biosynthesis of folic acid. 8. Purification and properties of the enzyme that catalyzes the production of formate from carbon atom 8 of guanosine triphosphate.,The Journal of biological chemistry,"{'Year': '1968', 'Month': 'May', 'Day': '10'}",,,Likely no free text
16895920,Molecular and functional interactions between Escherichia coli nucleoside-diphosphate kinase and the uracil-DNA glycosylase Ung.,The Journal of biological chemistry,"{'Year': '2006', 'Month': 'Oct', 'Day': '27'}",10.1074/jbc.M604937200,,Likely no free text
20639870,The metabolic enzyme CTP synthase forms cytoskeletal filaments.,Nature cell biology,"{'Year': '2010', 'Month': 'Aug'}",10.1038/ncb2087,PMC3210567,Likely Freely Available
9649434,Overlapping functions of components of a bacterial Sec-independent protein export pathway.,The EMBO journal,"{'Year': '1998', 'Month': 'Jul', 'Day': '01'}",10.1093/emboj/17.13.3640,PMC1170700,Likely Freely Available
9393690,The TolB protein interacts with the porins of Escherichia coli.,Journal of bacteriology,"{'Year': '1997', 'Month': 'Dec'}",10.1128/jb.179.23.7274-7279.1997,PMC179676,Likely Freely Available
23273979,Conserved bacterial RNase YbeY plays key roles in 70S ribosome quality control and 16S rRNA maturation.,Molecular cell,"{'Year': '2013', 'Month': 'Feb', 'Day': '07'}",10.1016/j.molcel.2012.11.025,PMC3570609,Likely Freely Available
21597182,Isolation of a mutant auxotrophic for L-alanine and identification of three major aminotransferases that synthesize L-alanine in Escherichia coli.,"Bioscience, biotechnology, and biochemistry",{'Year': '2011'},10.1271/bbb.100905,,Likely no free text
14617174,SetB: an integral membrane protein that affects chromosome segregation in Escherichia coli.,Molecular microbiology,"{'Year': '2003', 'Month': 'Oct'}",10.1046/j.1365-2958.2003.03736.x,,Likely no free text
2558046,Phosphorylation and dephosphorylation of a bacterial transcriptional activator by a transmembrane receptor.,Genes & development,"{'Year': '1989', 'Month': 'Nov'}",10.1101/gad.3.11.1725,,Likely no free text
9603882,Characterization of the hca cluster encoding the dioxygenolytic pathway for initial catabolism of 3-phenylpropionic acid in Escherichia coli K-12.,Journal of bacteriology,"{'Year': '1998', 'Month': 'Jun'}",10.1128/JB.180.11.2915-2923.1998,PMC107259,Likely Freely Available
8631671,"Energy-coupled transport across the outer membrane of Escherichia coli: ExbB binds ExbD and TonB in vitro, and leucine 132 in the periplasmic region and aspartate 25 in the transmembrane region are important for ExbD activity.",Journal of bacteriology,"{'Year': '1996', 'Month': 'May'}",10.1128/jb.178.10.2836-2845.1996,PMC178018,Likely Freely Available
22970852,MpaA is a murein-tripeptide-specific zinc carboxypeptidase that functions as part of a catabolic pathway for peptidoglycan-derived peptides in γ-proteobacteria.,The Biochemical journal,"{'Year': '2012', 'Month': 'Dec', 'Day': '15'}",10.1042/BJ20121164,,Likely no free text
17873039,The Escherichia coli Yej transporter is required for the uptake of translation inhibitor microcin C.,Journal of bacteriology,"{'Year': '2007', 'Month': 'Nov'}",10.1128/JB.01028-07,PMC2168686,Likely Freely Available
3283129,The mechanism of glucose 6-phosphate transport by Escherichia coli.,The Journal of biological chemistry,"{'Year': '1988', 'Month': 'May', 'Day': '15'}",,,Likely no free text
2851590,Cloning and expression of aminopeptidase P gene from Escherichia coli HB101 and characterization of expressed enzyme.,Journal of biochemistry,"{'Year': '1988', 'Month': 'Jul'}",10.1093/oxfordjournals.jbchem.a122430,,Likely no free text
17706670,prlF and yhaV encode a new toxin-antitoxin system in Escherichia coli.,Journal of molecular biology,"{'Year': '2007', 'Month': 'Sep', 'Day': '28'}",10.1016/j.jmb.2007.07.016,PMC2699681,Likely Freely Available
4928881,Fatty acid degradation in Escherichia coli. An inducible system for the uptake of fatty acids and further characterization of old mutants.,European journal of biochemistry,"{'Year': '1971', 'Month': 'Apr'}",10.1111/j.1432-1033.1971.tb01334.x,,Likely no free text
15616586,The structure of the TrmE GTP-binding protein and its implications for tRNA modification.,The EMBO journal,"{'Year': '2005', 'Month': 'Jan', 'Day': '12'}",10.1038/sj.emboj.7600507,PMC544919,Likely Freely Available
17416902,The DinG protein from Escherichia coli is a structure-specific helicase.,The Journal of biological chemistry,"{'Year': '2007', 'Month': 'Jun', 'Day': '22'}",10.1074/jbc.M700376200,,Likely no free text
22693442,The CanOE strategy: integrating genomic and metabolic contexts across multiple prokaryote genomes to find candidate genes for orphan enzymes.,PLoS computational biology,"{'Year': '2012', 'Month': 'May'}",10.1371/journal.pcbi.1002540,PMC3364942,Likely Freely Available
10607404,Identification of a ribosomal ATPase in Escherichia coli cells.,Biochimie,"{'Year': '1999', 'Month': 'Dec'}",10.1016/s0300-9084(99)00352-1,,Likely no free text
18703739,Small CRISPR RNAs guide antiviral defense in prokaryotes.,"Science (New York, N.Y.)","{'Year': '2008', 'Month': 'Aug', 'Day': '15'}",10.1126/science.1159689,PMC5898235,Likely Freely Available
17088549,Systems approach to refining genome annotation.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2006', 'Month': 'Nov', 'Day': '14'}",10.1073/pnas.0603364103,PMC1859954,Likely Freely Available
19748340,Structural analysis of sensor domains from the TMAO-responsive histidine kinase receptor TorS.,"Structure (London, England : 1993)","{'Year': '2009', 'Month': 'Sep', 'Day': '09'}",10.1016/j.str.2009.07.015,,Likely no free text
29852010,Distinct domains of Escherichia coli IgaA connect envelope stress sensing and down-regulation of the Rcs phosphorelay across subcellular compartments.,PLoS genetics,"{'Year': '2018', 'Month': 'May'}",10.1371/journal.pgen.1007398,PMC5978795,Likely Freely Available
16949608,Two parts of the T3S4 domain of the hook-length control protein FliK are essential for the substrate specificity switching of the flagellar type III export apparatus.,Journal of molecular biology,"{'Year': '2006', 'Month': 'Oct', 'Day': '06'}",10.1016/j.jmb.2006.08.004,,Likely no free text
28754708,"Glucosylglycerate Phosphorylase, an Enzyme with Novel Specificity Involved in Compatible Solute Metabolism.",Applied and environmental microbiology,"{'Year': '2017', 'Month': 'Oct', 'Day': '01'}",10.1128/AEM.01434-17,PMC5601347,Likely Freely Available
21247899,Structural and functional studies of the Escherichia coli phenylacetyl-CoA monooxygenase complex.,The Journal of biological chemistry,"{'Year': '2011', 'Month': 'Mar', 'Day': '25'}",10.1074/jbc.M110.194423,PMC3060524,Likely Freely Available
22199259,Structuring the bacterial genome: Y1-transposases associated with REP-BIME sequences.,Nucleic acids research,"{'Year': '2012', 'Month': 'Apr'}",10.1093/nar/gkr1198,PMC3333891,Likely Freely Available
10026151,A family of S-methylmethionine-dependent thiol/selenol methyltransferases. Role in selenium tolerance and evolutionary relation.,The Journal of biological chemistry,"{'Year': '1999', 'Month': 'Feb', 'Day': '26'}",10.1074/jbc.274.9.5407,,Likely no free text
18086859,IkappaB kinase beta-induced phosphorylation of CARMA1 contributes to CARMA1 Bcl10 MALT1 complex formation in B cells.,The Journal of experimental medicine,"{'Year': '2007', 'Month': 'Dec', 'Day': '24'}",10.1084/jem.20070379,PMC2150971,Likely Freely Available
17592637,Intracellular mediators of transforming growth factor beta superfamily signaling localize to endosomes in chicken embryo and mouse lenses in vivo.,BMC cell biology,"{'Year': '2007', 'Month': 'Jun', 'Day': '25'}",10.1186/1471-2121-8-25,PMC1914053,Likely Freely Available
18582498,Molecular cloning and functional characterization of a novel isoform of chicken myeloid differentiation factor 88 (MyD88).,Developmental and comparative immunology,{'Year': '2008'},10.1016/j.dci.2008.05.016,,Likely no free text
27732089,"Serotonin Receptor 1A (HTR1A), a Novel Regulator of GnRH Neuronal Migration in Chick Embryo.",Endocrinology,"{'Year': '2016', 'Month': 'Dec'}",10.1210/en.2016-1363,,Likely no free text
7476967,Interaction of the progesterone receptor with binding proteins for FK506 and cyclosporin A.,"Molecular endocrinology (Baltimore, Md.)","{'Year': '1995', 'Month': 'Jul'}",10.1210/mend.9.7.7476967,,Likely no free text
18216854,Dscam and Sidekick proteins direct lamina-specific synaptic connections in vertebrate retina.,Nature,"{'Year': '2008', 'Month': 'Jan', 'Day': '24'}",10.1038/nature06469,,Likely no free text
24882712,Migratory neural crest cell αN-catenin impacts chick trigeminal ganglia formation.,Developmental biology,"{'Year': '2014', 'Month': 'Aug', 'Day': '15'}",10.1016/j.ydbio.2014.05.016,PMC6933514,Likely Freely Available
16258938,Expression patterns of Wnt genes during development of an anterior part of the chicken eye.,Developmental dynamics : an official publication of the American Association of Anatomists,"{'Year': '2006', 'Month': 'Feb'}",10.1002/dvdy.20621,PMC2655638,Likely Freely Available
10500184,Multiple left-right asymmetry defects in Shh(-/-) mutant mice unveil a convergence of the shh and retinoic acid pathways in the control of Lefty-1.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '1999', 'Month': 'Sep', 'Day': '28'}",10.1073/pnas.96.20.11376,PMC18041,Likely Freely Available
11032808,Steroid-induced androgen receptor-oestradiol receptor beta-Src complex triggers prostate cancer cell proliferation.,The EMBO journal,"{'Year': '2000', 'Month': 'Oct', 'Day': '16'}",10.1093/emboj/19.20.5406,PMC314017,Likely Freely Available
15256600,A point mutation in the regulatory light chain reduces the step size of skeletal muscle myosin.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2004', 'Month': 'Jul', 'Day': '27'}",10.1073/pnas.0401699101,PMC503728,Likely Freely Available
9628876,"Two distinct nuclear receptor interaction domains in NSD1, a novel SET protein that exhibits characteristics of both corepressors and coactivators.",The EMBO journal,"{'Year': '1998', 'Month': 'Jun', 'Day': '15'}",10.1093/emboj/17.12.3398,PMC1170677,Likely Freely Available
19166831,Sarcomeric-alpha-actinin defective in vinculin-binding causes Z-line expansion and nemaline-like body formation in cultured chick myotubes.,Experimental cell research,"{'Year': '2009', 'Month': 'Mar', 'Day': '10'}",10.1016/j.yexcr.2008.12.019,,Likely no free text
19729011,The beta1 subunit of Na+/K+-ATPase interacts with BKCa channels and affects their steady-state expression on the cell surface.,FEBS letters,"{'Year': '2009', 'Month': 'Oct', 'Day': '06'}",10.1016/j.febslet.2009.08.039,PMC2757478,Likely Freely Available
16430960,Development and adaptations of innate immunity in the gastrointestinal tract of the newly hatched chick.,Developmental and comparative immunology,{'Year': '2006'},10.1016/j.dci.2005.12.002,,Likely no free text
11470922,Growth hormone interacts with the Marek's disease virus SORF2 protein and is associated with disease resistance in chicken.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2001', 'Month': 'Jul', 'Day': '31'}",10.1073/pnas.161466898,PMC55398,Likely Freely Available
1578001,Immunohistochemical localization of nicotinic acetylcholine receptor subunits in the mesencephalon and diencephalon of the chick (Gallus gallus).,The Journal of comparative neurology,"{'Year': '1992', 'Month': 'Mar', 'Day': '22'}",10.1002/cne.903170402,,Likely no free text
19934013,N-cadherin acts in concert with Slit1-Robo2 signaling in regulating aggregation of placode-derived cranial sensory neurons.,"Development (Cambridge, England)","{'Year': '2009', 'Month': 'Dec'}",10.1242/dev.034355,PMC2781051,Likely Freely Available
8207093,Characterisation of the paxillin-binding site and the C-terminal focal adhesion targeting sequence in vinculin.,Journal of cell science,"{'Year': '1994', 'Month': 'Feb'}",,,Likely no free text
20086044,Vinculin regulates cell-surface E-cadherin expression by binding to beta-catenin.,Journal of cell science,"{'Year': '2010', 'Month': 'Feb', 'Day': '15'}",10.1242/jcs.056432,PMC2818194,Likely Freely Available
